"species","decimalLatitude","decimalLongitude","family","a_habit","habitat_iucn","habitat_name"
"Barleria grandipetala",-4.86666,29.6333,"Acanthaceae","herb",1405,"Artificial – Urban Areas"
"Barleria holstii",-7.66667,36.25,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Barleria lugardii",-7.2,37.2167,"Acanthaceae","shrub",201,"Savanna – Dry"
"Barleria holstii",-7.23333,37.2167,"Acanthaceae","herb",201,"Savanna – Dry"
"Barleria prionitis",-7.2,37.2167,"Acanthaceae","shrub",201,"Savanna – Dry"
"Barleria nyasensis",-9,34.2333,"Acanthaceae","shrub",307,"Shrubland – Subtropical/tropical high altitude"
"Barleria ventricosa",-5.05222,38.6444,"Acanthaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Barleria stuhlmannii",-2.91916,36.2092,"Acanthaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Barleria lugardii",-7.66666,36.25,"Acanthaceae","shrub",105,"Forest – Subtropical/tropical dry"
"Barleria lactiflora",-9.75,34.3667,"Acanthaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Barleria eranthemoides",-4.35,37.8833,"Acanthaceae","shrub",106,"Forest – Subtropical/tropical moist lowland"
"Barleria pseudosomalia",-7,36.3833,"Acanthaceae","herb",201,"Savanna – Dry"
"Barleria neurophylla",-5.93028,30.2183,"Acanthaceae","herb",105,"Forest – Subtropical/tropical dry"
"Barleria pseudosomalia",-7.33333,35.7833,"Acanthaceae","herb",201,"Savanna – Dry"
"Barleria tanzaniana",-4.81667,38.6333,"Acanthaceae","herb",201,"Savanna – Dry"
"Barleria mpandensis subsp. mpandensis",-6.07444,30.5536,"Acanthaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Barleria lactiflora",-8.83333,33.3333,"Acanthaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Barleria grandicalyx",-6.31666,39.2925,"Acanthaceae","herb",106,"Forest – Subtropical/tropical moist lowland"
"Barleria lukwangulensis",-8.61,35.6231,"Acanthaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Barleria stuhlmannii",-7,36.3833,"Acanthaceae","herb",201,"Savanna – Dry"
"Barleria eranthemoides",-4.35111,37.8942,"Acanthaceae","shrub",109,"Forest – Subtropical/tropical moist montane"
"Barleria lukwangulensis",-11,34.9333,"Acanthaceae","herb",307,"Shrubland – Subtropical/tropical high altitude"
"Barleria fulvostellata",-7.2,37.2167,"Acanthaceae","shrub",201,"Savanna – Dry"
"Barleria lukwangulensis",-7.13333,37.6333,"Acanthaceae","herb",109,"Forest – Subtropical/tropical moist montane"
"Barleria amanensis",-4.75,38.65,"Acanthaceae",NA,201,"Savanna – Dry"
