"species"
"riocreuxia chrysochroma"
"sacleuxia newii"
"sacleuxia tuberosa"
"schizostephanus alatus"
"schizozygia coffeoides"
"schlechterella africana"
"secamone alpini"
"secamone schweinfurthii"
"stathmostelma diversifolium"
"stathmostelma fornicatum"
"stathmostelma propinquum"
"stathmostelma stipitatum"
"stephanotis abyssinica"
"stephanotis faulknerae"
"stephanotis macrantha"
"stephanotis rubicunda"
"stephanotis schimperi"
"stigmatorhynchus umbellifer"
"vincetoxicum anomalum"
"vincetoxicum apiculatum"
"vincetoxicum arabicum"
"vincetoxicum caffrum"
"vincetoxicum cernuum"
"vincetoxicum conspicuum"
"vincetoxicum diplostigma"
"vincetoxicum fleckii"
"vincetoxicum gracillimum"
"vincetoxicum heterophyllum"
"vincetoxicum iringensis"
"vincetoxicum sylvaticum"
"vincetoxicum tenuipedunculatum"
"vincetoxicum tridactylatum"
"xysmalobium convallariiflorum"
"xysmalobium fraternum"
"xysmalobium patulum"
"xysmalobium stocksii"
"pilostyles aethiopica"
"aponogeton nudiflorus"
"aponogeton stuhlmannii"
"amorphophallus impressus"
"amorphophallus mossambicensis"
"anchomanes boehmii"
"gonatopus angustus"
"lemna aequinoctialis"
"lemna gibba"
"lemna trisulca"
"sauromatum venosum"
"spirodela polyrhiza"
"stylochaeton borumense"
"stylochaeton crassispathum"
"stylochaeton cuculliferum"
"stylochaeton euryphyllum"
"stylochaeton milneanum"
"stylochaeton natalense"
"stylochaeton puberulum"
"stylochaeton salaamicum"
"typhonodorum lindleyanum"
"wolffia arrhiza"
"wolffia cylindracea"
"wolffiella welwitschii"
"zantedeschia albomaculata"
"astropanax abyssinicus"
"astropanax goetzenii"
"astropanax polysciadius"
"astropanax stolzii"
"astropanax urostachyus"
"astropanax volkensii"
"cussonia jatrophoides"
"neocussonia lukwangulensis"
"chrysalidocarpus pembanus"
"aristolochia bracteolata"
"albuca donaldsonii"
"albuca kirkii"
"albuca virens"
"anthericum corymbosum"
"anthericum depauperatum"
"anthericum excellens"
"anthericum papillosum"
"anthericum ramiferum"
"anthericum saxicola"
"anthericum setiferum"
"anthericum stuhlmannii"
"asparagus denudatus"
"asparagus faulkneri"
"asparagus merkeri"
"asparagus natalensis"
"asparagus petersianus"
"asparagus rogersii"
"asparagus suaveolens"
"asparagus uhligii"
"chlorophytum angustiracemosum"
"chlorophytum basitrichum"
"chlorophytum burundiense"
"chlorophytum clarae"
"chlorophytum geophilum"
"chlorophytum latifilamentatum"
"chlorophytum macrorrhizum"
"chlorophytum minor"
"chlorophytum paucinervatum"
"chlorophytum reflexibracteatum"
"chlorophytum suffruticosum"
"chlorophytum tordense"
"chlorophytum triflorum"
"chlorophytum vespertinum"
"dipcadi gracillimum"
"dipcadi longifolium"
"dipcadi vaginatum"
"dracaena arborescens"
"dracaena ascendens"
"dracaena aubrytiana"
"dracaena bagamoyensis"
"dracaena ballyi"
"dracaena bhitalae"
"dracaena camerooniana"
"dracaena canaliculata"
"dracaena conspicua"
"dracaena dooneri"
"dracaena enchiridiofolia"
"dracaena fischeri"
"dracaena forskaliana"
"dracaena frequens"
"dracaena hanningtonii"
"dracaena hyacinthoides"
"dracaena mikephillipsii"
"dracaena neobella"
"dracaena pearsonii"
"dracaena perrotii"
"dracaena pethera"
"dracaena pfennigii"
"dracaena powellii"
"dracaena raffillii"
"dracaena rugosifolia"
"dracaena serpenta"
"dracaena singularis"
"dracaena spathulata"
"dracaena suffruticosa"
"dracaena testudinea"
"dracaena trifasciata"
"dracaena usambarensis"
"dracaena vanillosa"
"dracaena volkensii"
"drimia basutica"
"drimia indica"
"drimia intricata"
"drimia modesta"
"drimiopsis barteri"
"drimiopsis fischeri"
"eriospermum abyssinicum"
"eriospermum adpressifolium"
"eriospermum triphyllum"
"ledebouria cordifolia"
"ledebouria edulis"
"ledebouria obstii"
"ledebouria somaliensis"
"scilla jaegeri"
"scilla textilis"
"scilla uyuiensis"
"aloe babatiensis"
"aloe bukobana"
"aloe cataractarum"
"aloe cryptopoda"
"aloe iringaensis"
"aloe juvenna"
"aloe kirkii"
"aloe kwasimbana"
"aloe latens"
"aloe morijensis"
"aloe mzimbana"
"aloe ngobitensis"
"aloe niensiensis"
"aloe nordaliae"
"aloe parvidens"
"aloe ruvuensis"
"aloe trothae"
"aloe veseyi"
"aloe wollastonii"
"bulbine fistulosa"
"kniphofia bequaertii"
"kniphofia dubia"
"asplenium adiantum-nigrum"
"asplenium affine"
"asplenium africanum"
"asplenium albersii"
"asplenium arcumontanum"
"asplenium cordatum"
"asplenium decompositum"
"asplenium elliottii"
"asplenium emarginatum"
"asplenium erosum"
"asplenium goetzei"
"asplenium hemitomum"
"asplenium hildebrandtianum"
"asplenium laciniatum"
"asplenium lademannianum"
"asplenium majus"
"asplenium mauritianum"
"asplenium mildbraedii"
"asplenium musiraense"
"asplenium niamniamense"
"asplenium normale"
"asplenium paucijugum"
"asplenium pellucidum"
"asplenium peteri"
"asplenium pocsii"
"asplenium praegracile"
"asplenium pseudoauriculatum"
"asplenium ramlowii"
"asplenium stuhlmannii"
"asplenium trichomanes"
"asplenium udzungwense"
"athyrium lewalleanum"
"athyrium rondoense"
"blechnum australe"
"blechnum bakeri"
"ã— chrismatopteris"
"cystopteris fragilis"
"diplazium humbertii"
"diplazium morogorense"
"diplazium proliferum"
"diplazium ulugurense"
"diplazium welwitschii"
"hymenasplenium kenyense"
"hymenasplenium obscurum"
"hymenasplenium unilaterale"
"thelypteris dentata"
"thelypteris friesii"
"thelypteris hispidula"
"thelypteris madagascariensis"
"thelypteris microbasis"
"thelypteris opulenta"
"thelypteris pauciflora"
"thelypteris prolifera"
"thelypteris pulchra"
"thelypteris striata"
"afroaster tansaniensis"
"afrocarduus keniensis"
"afrocarduus kikuyorum"
"afrocarduus leptacanthus"
"afrocarduus nyassanus"
"afrocarduus schimperi"
"afrocirsium buchwaldii"
"ambassa hochstetteri"
"ananthura pteropoda"
"anisopappus africanus"
"anisopappus buchwaldii"
"anisopappus oliverianus"
"anisopappus stuhlmannii"
"aspilia ciliata"
"athroisma inevitabile"
"austrosynotis rectirama"
"baccharoides adoensis"
"baccharoides anthelmintica"
"baccharoides bracteosa"
"baccharoides calvoana"
"baccharoides dumicola"
"baccharoides incompta"
"baccharoides lasiopus"
"baccharoides longepedunculata"
"baccharoides prolixa"
"baccharoides ringoetii"
"baccharoides sunzuensis"
"baccharoides tolypophora"
"bidens diversa"
"bidens hildebrandtii"
"bidens oblonga"
"bidens odora"
"bidens taylorii"
"bidens whytei"
"blainvillea gayana"
"blumea cafra"
"bothriocline bagshawei"
"bothriocline emilioides"
"bothriocline muschleriana"
"bothriocline quercifolia"
"brachythrix lugarensis"
"cabobanthus polysphaerus"
"crassocephalum effusum"
"crassocephalum paludum"
"crassocephalum uvens"
"crepis dianthoseris"
"crepis rueppellii"
"crystallopollen angustifolium"
"crystallopollen bainesii"
"crystallopollen chloropappum"
"crystallopollen mbalense"
"crystallopollen serratuloides"
"crystallopollen sylvicola"
"cyanthillium polytrichomata"
"cyanthillium wollastonii"
"dewildemania platycephala"
"dewildemania stenophylla"
"distephanus biafrae"
"echinops hispidus"
"echinops hoehnelii"
"echinops longifolius"
"emilia aurita"
"emilia blittersdorffii"
"emilia charlesii"
"emilia cryptantha"
"emilia decipiens"
"emilia kiwuensis"
"emilia longifolia"
"emilia micrura"
"emilia myriocephala"
"emilia simulans"
"emilia tenuis"
"erigeron steudelii"
"erlangea calycina"
"erlangea enigmatica"
"erlangea richardsiae"
"erlangea smithii"
"erythrocephalum decipiens"
"erythrocephalum goetzei"
"erythrocephalum marginatum"
"erythrocephalum microcephalum"
"erythrocephalum sallyae"
"eschenbachia gouanii"
"eschenbachia tigrensis"
"ethulia ngorongoroensis"
"ethulia ruhudjiensis"
"euryops brownei"
"geigeria acaulis"
"glossocardia bidens"
"gorteria angustifolia"
"gorteria antunesii"
"gorteria beguinotii"
"gorteria gracilis"
"grauanthus parviflorus"
"gutenbergia babatiensis"
"gutenbergia eylesii"
"gutenbergia fruticosa"
"gutenbergia gossweileri"
"gymnanthemum amygdalinum"
"gymnanthemum auriculiferum"
"gymnanthemum bellinghamii"
"gymnanthemum exsertiflorum"
"gymnanthemum glaberrimum"
"gymnanthemum myrianthum"
"gymnanthemum thomsonianum"
"gynura amplexicaulis"
"haplocarpha rueppellii"
"haplocarpha schimperi"
"helichrysum bampsianum"
"helichrysum cataractarum"
"helichrysum goetzeanum"
"helichrysum keilii"
"helichrysum schimperi"
"helichrysum stolzii"
"helichrysum traversii"
"helichrysum wittei"
"hilliardiella calyculata"
"hilliardiella elaeagnoides"
"hoffmannanthus abbotianus"
"hypericophyllum brevipapposum"
"hypericophyllum nyassicum"
"hystrichophora macrophylla"
"inula eminii"
"jeffreya petitiana"
"jeffreycia amaniensis"
"jeffreycia usambarensis"
"jeffreycia zanzibarensis"
"kleinia amaniensis"
"kleinia gregorii"
"kleinia longiflora"
"kleinia mweroensis"
"kleinia odora"
"kleinia oligondonta"
"kleinia polycotoma"
"kleinia schweinfurthii"
"lactuca imbricata"
"lactuca lasiorhiza"
"lactuca longespicata"
"lactuca songeensis"
"laggera alata"
"laggera volkensii"
"lampropappus turbinellus"
"launaea hafunensis"
"launaea intybacea"
"launaea petitiana"
"launaea taraxacifolia"
"launaea violacea"
"lettowia nyassae"
"linzia glabra"
"linzia infundibularis"
"linzia ituriensis"
"linzia usafuensis"
"lipotriche abyssinica"
"lipotriche pungens"
"lipotriche richardsiae"
"lipotriche robinsonii"
"lipotriche scandens"
"lopholaena trianthemos"
"lopholaena ussanguensis"
"macledium humile"
"macledium plantaginifolium"
"manyonia peculiaris"
"microglossa pyrrhopappa"
"mikaniopsis tanganyikensis"
"monactinocephalus paniculatus"
"monactinocephalus shirensis"
"nidorella aegyptiaca"
"nidorella vernonioides"
"nidorella welwitschii"
"oocephala agrianthoides"
"orbivestus albocinerascens"
"orbivestus cinerascens"
"orbivestus karaguensis"
"orbivestus undulatus"
"osteospermum afromontanum"
"osteospermum monocephalum"
"osteospermum vaillantii"
"osteospermum volkensii"
"pegolettia senegalensis"
"pleiotaxis eximia"
"pleiotaxis oxylepis"
"pluchea bequaertii"
"pluchea lanceolata"
"porphyrostemma monocephalum"
"reichardia tingitana"
"senecio coronatus"
"senecio dentatoalatus"
"senecio discokaraguensis"
"senecio doryphoroides"
"senecio exarachnoideus"
"senecio hedbergii"
"senecio latecorymbosus"
"senecio latifolius"
"senecio mooreioides"
"senecio purtschelleri"
"senecio sororius"
"senecio telekii"
"senecio volcanicola"
"solanecio kangae"
"solanecio nandensis"
"sphaeranthus chandleri"
