species,decimalLatitude,decimalLongitude,family,a_habit
Asystasia gangetica,-6.28333,38.5667,Acanthaceae,herb
Asystasia gangetica,-7.90555,36.7042,Acanthaceae,herb
Asystasia moorei,-6,37.7167,Acanthaceae,herb
Asystasia leptostachya,-6.88333,37.9167,Acanthaceae,herb
Asystasia gangetica,-7.86611,36.8686,Acanthaceae,herb
Asystasia gangetica,-6.81667,39.2667,Acanthaceae,herb
Asystasia gangetica,-8.68333,36.7167,Acanthaceae,herb
Asystasia moorei,-6,37.7167,Acanthaceae,herb
Asystasia gangetica,-6.71361,39.0794,Acanthaceae,herb
Asystasia gangetica,-6.81667,39.2667,Acanthaceae,herb
Asystasia leptostachya,-6.96666,37.85,Acanthaceae,herb
Asystasia gangetica,-2.72138,36.7044,Acanthaceae,herb
Asystasia gangetica,-6.81666,39.2667,Acanthaceae,herb
Asystasia gangetica,-4.64583,29.6228,Acanthaceae,herb
Asystasia charmian,-4.71805,34.6986,Acanthaceae,herb
Asystasia minutiflora,-6.07778,37.5469,Acanthaceae,herb
Asystasia gangetica,-4.96666,38.75,Acanthaceae,herb
Asystasia tanzaniensis,-7.17,37.52,Acanthaceae,herb
Asystasia gangetica,-6.94666,36.6281,Acanthaceae,herb
Asystasia gangetica,-5.53333,38.6333,Acanthaceae,herb
Asystasia moorei,-6.88333,37.9167,Acanthaceae,herb
Asystasia albiflora,-5.99805,37.7433,Acanthaceae,herb
Asystasia mysurensis,-1.03138,31.5397,Acanthaceae,herb
Asystasia schliebenii,-8.68333,36.8,Acanthaceae,herb
Asystasia leptostachya,-6.88333,37.9167,Acanthaceae,herb
Asystasia richardsiae,-7.48,30.98,Acanthaceae,herb
Asystasia gangetica subsp. micrantha,-10.17,39.3,Acanthaceae,herb
Asystasia glandulosa,-8.23,34.97,Acanthaceae,herb
Asystasia mysurensis,-7.97,31.65,Acanthaceae,herb
Asystasia albiflora,-7.72,31.53,Acanthaceae,herb
Asystasia richardsiae,-5.88,32.63,Acanthaceae,herb
Asystasia mysurensis,-5.75,34.7,Acanthaceae,herb
Asystasia mysurensis,-4.95,35.8,Acanthaceae,herb
Asystasia albiflora,-8.35,32.92,Acanthaceae,herb
Asystasia richardsiae,-5.32,32.7,Acanthaceae,herb
Asystasia mysurensis,-5.07,35.8,Acanthaceae,herb
Asystasia leptostachya,-7.72,36.9,Acanthaceae,herb
Asystasia gangetica,-6.8,39.25,Acanthaceae,herb
Asystasia gangetica,-7.46667,30.9167,Acanthaceae,herb
Asystasia hedbergii,-5.93333,30.2167,Acanthaceae,shrub
Asystasia hedbergii,-6,30,Acanthaceae,shrub
Avicennia marina,-5.33333,38.95,Acanthaceae,tree
Avicennia marina,-5.13,39.12,Acanthaceae,tree
Avicennia marina,-5.41667,38.9833,Acanthaceae,tree
Avicennia marina,-5.41667,38.9833,Acanthaceae,tree
Avicennia marina,-6.03333,38.7833,Acanthaceae,tree
Avicennia marina,-8.95916,39.4906,Acanthaceae,tree
Avicennia marina,-8.96115,39.4915,Acanthaceae,tree
Avicennia marina,-6.03333,38.7833,Acanthaceae,tree
Avicennia marina,-6.81666,39.2667,Acanthaceae,tree
Barleria vollesenii,-10.9167,38.8333,Acanthaceae,herb
Barleria calophylloides subsp. pilosa,-8.76667,34.4333,Acanthaceae,herb
Barleria griseoviridis,-7.46667,30.75,Acanthaceae,herb
Barleria inclusa,-4.95,33.0333,Acanthaceae,herb
Barleria fulvostellata subsp. scariosa,-8.58333,37.2667,Acanthaceae,shrub
Barleria fulvostellata,-7.81667,37.8833,Acanthaceae,shrub
Barleria prionitis,-8.46667,38.55,Acanthaceae,shrub
Barleria sacleuxii,-8.46667,38.55,Acanthaceae,herb
Barleria delamerei,-7.71667,37.9833,Acanthaceae,shrub
Barleria calophylloides,-8.6,38.4667,Acanthaceae,herb
Barleria lugardii,-8.88333,34,Acanthaceae,shrub
Barleria lugardii,-7.33333,36.6167,Acanthaceae,shrub
Barleria hirta,-5.01667,38.7667,Acanthaceae,shrub
Barleria diacanthus,-8.3,36.35,Acanthaceae,shrub
Barleria ventricosa,-3.25,36.8333,Acanthaceae,shrub
Barleria holstii,-7.61667,37.7833,Acanthaceae,herb
Barleria usambarica,-5.01667,38.7667,Acanthaceae,herb
Barleria submollis,-3.6,37.7,Acanthaceae,herb
Barleria stuhlmannii,-2.83305,36.2119,Acanthaceae,herb
Barleria lactiflora,-8.9,33.2,Acanthaceae,herb
Barleria nyasensis,-9,34.2333,Acanthaceae,shrub
Barleria grandipetala,-4.86666,29.6333,Acanthaceae,herb
Barleria holstii,-7.66667,36.25,Acanthaceae,herb
Barleria lugardii,-7.2,37.2167,Acanthaceae,shrub
Barleria holstii,-7.23333,37.2167,Acanthaceae,herb
Barleria prionitis,-7.2,37.2167,Acanthaceae,shrub
Barleria nyasensis,-9,34.2333,Acanthaceae,shrub
Barleria ventricosa,-5.05222,38.6444,Acanthaceae,shrub
Barleria stuhlmannii,-2.91916,36.2092,Acanthaceae,herb
Barleria lugardii,-7.66666,36.25,Acanthaceae,shrub
Barleria lactiflora,-9.75,34.3667,Acanthaceae,herb
Barleria eranthemoides,-4.35,37.8833,Acanthaceae,shrub
Barleria pseudosomalia,-7,36.3833,Acanthaceae,herb
Barleria neurophylla,-5.93028,30.2183,Acanthaceae,herb
Barleria pseudosomalia,-7.33333,35.7833,Acanthaceae,herb
Barleria tanzaniana,-4.81667,38.6333,Acanthaceae,herb
Barleria mpandensis subsp. mpandensis,-6.07444,30.5536,Acanthaceae,herb
Barleria lactiflora,-8.83333,33.3333,Acanthaceae,herb
Barleria grandicalyx,-6.31666,39.2925,Acanthaceae,herb
Barleria lukwangulensis,-8.61,35.6231,Acanthaceae,herb
Barleria stuhlmannii,-7,36.3833,Acanthaceae,herb
Barleria eranthemoides,-4.35111,37.8942,Acanthaceae,shrub
Barleria lukwangulensis,-11,34.9333,Acanthaceae,herb
Barleria fulvostellata,-7.2,37.2167,Acanthaceae,shrub
Barleria lukwangulensis,-7.13333,37.6333,Acanthaceae,herb
Barleria amanensis,-4.75,38.65,Acanthaceae,NA
Barleria ramulosa,-7.25,37.1667,Acanthaceae,shrub
Barleria granarii,-7.66667,35.1667,Acanthaceae,shrub
Barleria holstii,-7.2,37.2167,Acanthaceae,herb
Barleria aristata,-7.6,36.3167,Acanthaceae,herb
Barleria spinulosa,-9.11777,39.1472,Acanthaceae,herb
Barleria prionitis,-9.565,39.2836,Acanthaceae,shrub
Barleria volkensii,-3.28361,35.4175,Acanthaceae,shrub
Barleria tanzaniana,-6.94694,36.6281,Acanthaceae,herb
Barleria tanzaniana,-6.905,39.083,Acanthaceae,herb
Barleria grandis,-4.86666,35.2075,Acanthaceae,shrub
Barleria spinulosa,-9.56666,34.1167,Acanthaceae,herb
