species,family,genus,order,primary_habit,secondary_habit,n_records,n_coords,mean_lat,mean_lon
Raphia farinifera,Arecaceae,Raphia,Arecales,tree,NA,16,16,-5.505496875,36.909375
Renealmia engleri,Zingiberaceae,Renealmia,Zingiberales,herb,NA,16,16,-6.73329375,36.7096125
Rhipsalis baccifera,Cactaceae,Rhipsalis,Caryophyllales,epiphyte,NA,16,16,-4.551019375,36.02139375
Rhodopentas parvifolia,Rubiaceae,Rhodopentas,Gentianales,shrub,NA,16,16,-6.2888525,37.88936875
Rinorea ilicifolia var. amplexicaulis,Violaceae,Rinorea,Malpighiales,shrub,NA,16,16,-5.985728125,33.91955
Scleria racemosa,Cyperaceae,Scleria,Poales,herb,NA,16,16,-7.4702225,33.4445
Searsia brenanii,Anacardiaceae,Searsia,Sapindales,liana,shrub,16,16,-8.93998,34.046749999999996
Siphonochilus aethiopicus,Zingiberaceae,Siphonochilus,Zingiberales,herb,NA,16,16,-7.7095975,36.84846875
Solanecio angulatus,Asteraceae,Solanecio,Asterales,herb,climber,16,16,-5.52853875,37.2323
Stephania abyssinica,Menispermaceae,Stephania,Ranunculales,vine,herb,16,16,-6.350395625,34.7275625
Trichilia dregeana,Meliaceae,Trichilia,Sapindales,tree,NA,16,16,-4.492965,34.22669375
Trichomanes minutum,Hymenophyllaceae,Trichomanes,Hymenophyllales,epiphyte,NA,16,16,-5.759374375,38.07000625
Tylophora stenoloba,Apocynaceae,Tylophora,Gentianales,liana,NA,16,16,-6.86353875,39.10726875
Uvaria leptocladon subsp. leptocladon,Annonaceae,Uvaria,Magnoliales,liana,NA,16,16,-4.9011275,38.4425625
Viola abyssinica,Violaceae,Viola,Malpighiales,herb,NA,16,16,-8.3586425,34.58101875
Acacia schweinfurthii var. schweinfurthii,Fabaceae,Acacia,Fabales,shrub,NA,15,15,-5.131088666666667,36.20656
Acacia senegal,Fabaceae,Acacia,Fabales,tree,NA,15,15,-5.019628666666667,36.34803333333333
Acacia sieberiana var. sieberiana,Fabaceae,Acacia,Fabales,tree,NA,15,15,-7.488834,38.20738
Achyrospermum carvalhoi var. grandibracteatum,Lamiaceae,Achyrospermum,Lamiales,shrub,NA,15,15,-7.808646666666666,36.87788666666667
Achyrospermum cryptanthum,Lamiaceae,Achyrospermum,Lamiales,shrub,NA,15,15,-8.126109333333334,34.30511333333333
Adenia kirkii,Passifloraceae,Adenia,Malpighiales,vine,NA,15,15,-8.277387333333333,38.819253333333336
Aeschynomene uniflora var. uniflora,Fabaceae,Aeschynomene,Fabales,herb,NA,15,15,-5.857995333333333,38.47384
Agathisanthemum globosum,Rubiaceae,Agathisanthemum,Gentianales,herb,NA,15,15,-7.120703333333333,33.38150666666667
Albizia amara subsp. sericocephala,Fabaceae,Albizia,Fabales,tree,NA,15,15,-5.068089333333333,34.241733333333336
Alysicarpus vaginalis,Fabaceae,Alysicarpus,Fabales,herb,NA,15,15,-5.945552,37.49422
Ammannia auriculata,Lythraceae,Ammannia,Myrtales,herb,NA,15,15,-6.591942666666667,36.143253333333334
Annickia kummerae,Annonaceae,Annickia,Magnoliales,tree,NA,15,15,-5.048028666666667,38.6287
Aristogeitonia monophylla,Picrodendraceae,Aristogeitonia,Malpighiales,shrub,NA,15,15,-6.934609333333333,38.84137333333334
Basananthe hanningtoniana,Passifloraceae,Basananthe,Malpighiales,vine,climber,15,15,-7.237570666666667,36.69540666666666
Begonia sutherlandii,Begoniaceae,Begonia,Cucurbitales,herb,NA,15,15,-8.778016666666666,33.472546666666666
Bidens magnifolia,Asteraceae,Bidens,Asterales,herb,NA,15,15,-7.388422666666667,36.40856
Bidens steppia,Asteraceae,Bidens,Asterales,herb,NA,15,15,-7.242905333333333,34.16696
Bothriocline glabrescens,Asteraceae,Bothriocline,Asterales,herb,NA,15,15,-3.634851333333333,36.09992666666667
Brachystegia boehmii,Fabaceae,Brachystegia,Fabales,tree,NA,15,15,-7.290163333333333,34.19923333333333
Buchnera cryptocephala,Orobanchaceae,Buchnera,Lamiales,herb,NA,15,15,-6.9770346666666665,32.62529333333333
Caesalpinia decapetala,Fabaceae,Caesalpinia,Fabales,shrub,NA,15,15,-4.012052,36.43170666666666
Campylospermum densiflorum,Ochnaceae,Campylospermum,Malpighiales,shrub,NA,15,15,-4.374426,30.72356
Cassia abbreviata subsp. abbreviata,Fabaceae,Cassia,Fabales,tree,NA,15,15,-6.14624,35.60539333333333
Celtis zenkeri,Cannabaceae,Celtis,Rosales,tree,NA,15,15,-6.319788,37.95111333333333
Cenchrus ciliaris,Poaceae,Cenchrus,Poales,herb,NA,15,15,-4.742905333333333,36.72750666666667
Chazaliella abrupta var. abrupta,Rubiaceae,Chazaliella,Gentianales,shrub,NA,15,15,-6.962384666666667,37.82048
Chlorophytum colubrinum,Asparagaceae,Chlorophytum,Asparagales,herb,NA,15,15,-7.9717199999999995,34.04628
Cissampelos torulosa,Menispermaceae,Cissampelos,Ranunculales,liana,NA,15,15,-6.692016,36.72068
Cissus integrifolia,Vitaceae,Cissus,Vitales,liana,liana,15,15,-8.316406666666667,36.57404
Clematis dolichopoda,Ranunculaceae,Clematis,Ranunculales,liana,NA,15,15,-5.287942,38.182413333333336
Clutia paxii,Euphorbiaceae,Clutia,Malpighiales,shrub,NA,15,15,-8.665676,35.01246
Coffea lulandoensis,Rubiaceae,Coffea,Gentianales,shrub,NA,15,15,-8.602073333333333,35.637146666666666
Commiphora eminii subsp. zimmermannii,Burseraceae,Commiphora,Sapindales,tree,NA,15,15,-7.174797333333333,36.36462
Commiphora ugogensis,Burseraceae,Commiphora,Sapindales,tree,NA,15,15,-6.259086666666667,36.06077333333333
Conyza newii,Asteraceae,Conyza,Asterales,herb,NA,15,15,-4.4436626666666665,37.34337333333333
Coptosperma neurophyllum,Rubiaceae,Coptosperma,Gentianales,tree,NA,15,15,-7.48885,34.19026
Cordyla densiflora,Fabaceae,Cordyla,Fabales,tree,NA,15,15,-7.131109333333334,36.15776666666667
Cordylostigma obtusilobum,Rubiaceae,Cordylostigma,Gentianales,herb,NA,15,15,-5.924888666666667,38.21711333333333
Crotalaria barkae subsp. barkae,Fabaceae,Crotalaria,Fabales,herb,NA,15,15,-4.93259,35.01644
Cyperus cartilagineus,Cyperaceae,Cyperus,Poales,herb,NA,15,15,-6.084441333333333,39.054433333333336
Cyperus rigidifolius,Cyperaceae,Cyperus,Poales,herb,NA,15,15,-5.989502,36.35688666666667
Cyphostemma kilimandscharicum,Vitaceae,Cyphostemma,Vitales,liana,NA,15,15,-4.750996,36.79604
Cystostemon hispidus,Boraginaceae,Cystostemon,Boraginales,herb,NA,15,15,-2.9359806666666666,35.33777333333333
Desmodium gangeticum,Fabaceae,Desmodium,Fabales,herb,NA,15,15,-6.369533333333333,36.26600666666667
Desmodium salicifolium,Fabaceae,Desmodium,Fabales,shrub,shrub,15,15,-5.060867333333333,33.84185333333333
Desmodium velutinum,Fabaceae,Desmodium,Fabales,shrub,NA,15,15,-7.285886,38.48696666666667
Dolichos kilimandscharicus,Fabaceae,Dolichos,Fabales,herb,NA,15,15,-7.070628666666667,33.40794
Dorstenia goetzei,Moraceae,Dorstenia,Rosales,herb,NA,15,15,-6.440460666666667,37.876133333333335
Dregea schimperi,Apocynaceae,Dregea,Gentianales,liana,liana,15,15,-4.394774666666667,36.57752
Droogmansia pteropus,Fabaceae,Droogmansia,Fabales,shrub,NA,15,15,-7.683147333333333,32.50645333333333
Eclipta prostrata,Asteraceae,Eclipta,Asterales,herb,NA,15,15,-6.784980666666667,36.71616
Entada rheedei,Fabaceae,Entada,Fabales,liana,NA,15,15,-7.282428,37.506613333333334
Eragrostis tenuifolia,Poaceae,Eragrostis,Poales,herb,NA,15,15,-5.329422,34.648833333333336
Erythrococca bongensis,Euphorbiaceae,Erythrococca,Malpighiales,shrub,NA,15,15,-3.6081273333333335,35.8194
Erythrococca fischeri,Euphorbiaceae,Erythrococca,Malpighiales,shrub,NA,15,15,-3.609458666666667,36.725633333333334
Euphorbia grantii,Euphorbiaceae,Euphorbia,Malpighiales,shrub,NA,15,15,-5.236332,33.19474
Fadogia elskensii,Rubiaceae,Fadogia,Gentianales,herb,NA,15,15,-8.391810666666666,34.91203333333333
Galium ossirwaense,Rubiaceae,Galium,Gentianales,herb,NA,15,15,-4.970739333333333,35.533426666666664
Galium tanganyikense,Rubiaceae,Galium,Gentianales,herb,NA,15,15,-8.793333333333333,33.88333333333333
Gladiolus gregarius,Iridaceae,Gladiolus,Asparagales,herb,NA,15,15,-7.030182,32.61082
Grewia leptopus,Malvaceae,Grewia,Malvales,shrub,NA,15,15,-8.412256666666666,39.296753333333335
Haplocoelopsis africana,Sapindaceae,Haplocoelopsis,Sapindales,tree,NA,15,15,-8.214480666666667,38.06844
Helichrysum forskahlii,Asteraceae,Helichrysum,Asterales,herb,NA,15,15,-6.670442666666666,34.508653333333335
Helichrysum stenopterum,Asteraceae,Helichrysum,Asterales,herb,NA,15,15,-5.517144666666667,36.700293333333335
Hylebates chlorochloe,Poaceae,Hylebates,Poales,herb,NA,15,15,-6.475552,38.25444
Hypoestes triflora,Acanthaceae,Hypoestes,Lamiales,herb,NA,15,15,-6.804070666666667,35.030546666666666
Impatiens hamata,Balsaminaceae,Impatiens,Ericales,herb,NA,15,15,-6.889996,37.682226666666665
Impatiens ioides,Balsaminaceae,Impatiens,Ericales,herb,NA,15,15,-7.12555,37.48334666666667
Indigofera hirsuta,Fabaceae,Indigofera,Fabales,herb,NA,15,15,-6.991422666666667,36.104193333333335
Isoberlinia scheffleri,Fabaceae,Isoberlinia,Fabales,tree,NA,15,15,-6.13711,37.92988
Jasminum streptopus var. streptopus,Oleaceae,Jasminum,Lamiales,shrub,climber,15,15,-6.234441333333334,35.775686666666665
Justicia linearispica,Acanthaceae,Justicia,Lamiales,herb,NA,15,15,-8.412497333333333,34.72704
Kotschya recurvifolia subsp. recurvifolia,Fabaceae,Kotschya,Fabales,shrub,NA,15,15,-6.851105333333333,35.72
Lantana trifolia,Verbenaceae,Lantana,Lamiales,shrub,NA,15,15,-4.98309,35.19395333333333
Lasiodiscus usambarensis,Rhamnaceae,Lasiodiscus,Rosales,tree,NA,15,15,-7.559348,36.941113333333334
Lippia plicata,Verbenaceae,Lippia,Lamiales,shrub,NA,15,15,-8.4827,34.1818
Macaranga conglomerata,Euphorbiaceae,Macaranga,Malpighiales,tree,NA,15,15,-4.904942,37.88558
Maerua parvifolia,Capparaceae,Maerua,Brassicales,shrub,NA,15,15,-5.3952,34.720306666666666
Markhamia lutea,Bignoniaceae,Markhamia,Lamiales,tree,NA,15,15,-5.147642666666667,37.34358666666667
Melanthera scandens subsp. madagascariensis,Asteraceae,Melanthera,Asterales,herb,NA,15,15,-5.292166,31.13908
Memecylon myrtilloides,Melastomataceae,Memecylon,Myrtales,shrub,NA,15,15,-6.973422666666667,37.25423333333333
Microchloa kunthii,Poaceae,Microchloa,Poales,herb,NA,15,15,-7.182738,33.60080666666667
Mitriostigma usambarense,Rubiaceae,Mitriostigma,Gentianales,shrub,NA,15,15,-4.516572666666667,38.14105333333333
Mostuea brunonis,Gelsemiaceae,Mostuea,Gentianales,shrub,NA,15,15,-6.221888,38.63048666666667
Ochna puberula,Ochnaceae,Ochna,Malpighiales,tree,NA,15,15,-7.103424,34.59526666666667
Oncocalyx fischeri,Loranthaceae,Oncocalyx,Santalales,parasitic,NA,15,15,-3.308016,36.294426666666666
Oplismenus compositus,Poaceae,Oplismenus,Poales,herb,NA,15,15,-8.188515333333333,35.03465333333333
Orthosiphon rubicundus,Lamiaceae,Orthosiphon,Lamiales,herb,NA,15,15,-6.378774,36.54684666666667
Oxyanthus lepidus subsp. lepidus,Rubiaceae,Oxyanthus,Gentianales,shrub,NA,15,15,-4.670329333333333,31.024540000000002
Ozoroa obovata,Anacardiaceae,Ozoroa,Sapindales,tree,NA,15,15,-6.69833,38.750373333333336
Pandiaka rubro-lutea,Amaranthaceae,Pandiaka,Caryophyllales,herb,NA,15,15,-5.819868,33.883453333333335
Panicum pleianthum,Poaceae,Panicum,Poales,herb,NA,15,15,-7.212218,38.583326666666665
Parapentas silvatica subsp. silvatica,Rubiaceae,Parapentas,Gentianales,herb,NA,15,15,-5.113812666666667,38.12714666666667
Parkia filicoidea,Fabaceae,Parkia,Fabales,tree,NA,15,15,-5.55298,35.876866666666665
Parquetina calophylla,Apocynaceae,Parquetina,Gentianales,liana,liana,15,15,-7.119947333333333,37.89586666666667
Passiflora foetida,Passifloraceae,Passiflora,Malpighiales,liana,herb,15,15,-6.061888,38.9569
Pavetta mazumbaiensis,Rubiaceae,Pavetta,Gentianales,shrub,NA,15,15,-5.254961333333333,38.12900666666667
Pavetta sansibarica subsp. trichosphaera,Rubiaceae,Pavetta,Gentianales,shrub,NA,15,15,-5.256720666666666,38.58081333333333
Pentarrhinum insipidum,Apocynaceae,Pentarrhinum,Gentianales,vine,herb,15,15,-4.788812666666667,36.720546666666664
Phyllanthus nummulariifolius var. capillaris,Phyllanthaceae,Phyllanthus,Malpighiales,herb,NA,15,15,-6.807050666666667,36.289606666666664
Pilogyne minutiflora,Cucurbitaceae,Pilogyne,Cucurbitales,vine,herb,15,15,-4.3993313333333335,34.776180000000004
Platostoma africanum,Lamiaceae,Platostoma,Lamiales,herb,NA,15,15,-6.027793333333333,34.09032
Plectranthus trullatus,Lamiaceae,Plectranthus,Lamiales,shrub,NA,15,15,-7.103221333333334,37.367853333333336
Polystachya longiscapa,Orchidaceae,Polystachya,Asparagales,herb,NA,15,15,-6.975554666666667,37.71066666666667
Psychotria linearisepala,Rubiaceae,Psychotria,Gentianales,shrub,NA,15,15,-8.942017333333332,34.599333333333334
Psychotria petiginosa,Rubiaceae,Psychotria,Gentianales,shrub,NA,15,15,-3.96698,37.74568
Pterolobium stellatum,Fabaceae,Pterolobium,Fabales,shrub,NA,15,15,-4.902756,35.953646666666664
Pupalia lappacea,Amaranthaceae,Pupalia,Caryophyllales,herb,NA,15,15,-5.575573333333334,37.330933333333334
Rhynchosia sublobata,Fabaceae,Rhynchosia,Fabales,herb,climber,15,15,-6.251387333333334,37.78570666666667
Rubus rosifolius,Rosaceae,Rubus,Rosales,shrub,NA,15,15,-5.169422,38.162486666666666
Rytigynia lichenoxenos subsp. glabrituba,Rubiaceae,Rytigynia,Gentianales,tree,NA,15,15,-8.111368,36.14928666666667
Salacia elegans,Celastraceae,Salacia,Celastrales,liana,NA,15,15,-6.901814,37.836726666666664
Scleria lithosperma,Cyperaceae,Scleria,Poales,herb,NA,15,15,-7.056055333333333,38.10447333333333
Sclerocarya birrea subsp. multifoliolata,Anacardiaceae,Sclerocarya,Sapindales,tree,NA,15,15,-5.314866,35.10118
Senna petersiana,Fabaceae,Senna,Fabales,tree,NA,15,15,-8.126462,38.21876666666667
Solanum thomsoni,Solanaceae,Solanum,Solanales,shrub,NA,15,15,-8.765648,34.82514666666667
Strychnos scheffleri,Loganiaceae,Strychnos,Gentianales,liana,climber,15,15,-5.596224,38.02800666666667
Stuhlmannia moavi,Fabaceae,Stuhlmannia,Fabales,tree,NA,15,15,-6.266460666666667,38.70111333333333
Syzygium micklethwaitii subsp. micklethwaitii,Myrtaceae,Syzygium,Myrtales,tree,NA,15,15,-4.888700666666667,37.836953333333334
Tarenna pavettoides,Rubiaceae,Tarenna,Gentianales,shrub,NA,15,15,-6.054218666666666,37.254126666666664
Thilachium africanum,Capparaceae,Thilachium,Brassicales,shrub,NA,15,15,-5.616736666666667,36.52142666666667
Tiliacora funifera,Menispermaceae,Tiliacora,Ranunculales,liana,NA,15,15,-6.45456,34.25176666666667
Tinospora caffra,Menispermaceae,Tinospora,Ranunculales,liana,shrub,15,15,-7.277907333333333,33.65162
Trichodesma zeylanicum,Boraginaceae,Trichodesma,Boraginales,herb,NA,15,15,-6.856997333333333,35.724833333333336
Tylophora gracillima,Apocynaceae,Tylophora,Gentianales,vine,herb,15,15,-7.163792666666667,37.14802666666667
Uvaria tanzaniae,Annonaceae,Uvaria,Magnoliales,liana,shrub,15,15,-6.474442666666667,37.75446
Vepris nobilis,Rutaceae,Vepris,Sapindales,tree,NA,15,15,-6.340734,34.98792666666667
Vigna vexillata var. vexillata,Fabaceae,Vigna,Fabales,vine,NA,15,15,-5.586237333333333,34.806200000000004
Wahlenbergia virgata,Campanulaceae,Wahlenbergia,Asterales,herb,NA,15,15,-8.120090666666666,34.12360666666667
Acacia zanzibarica var. zanzibarica,Fabaceae,Acacia,Fabales,shrub,NA,14,14,-6.215473571428571,38.804785714285714
Acalypha psilostachya var. glandulosa,Euphorbiaceae,Acalypha,Malpighiales,herb,herb,14,14,-9.113092142857143,34.070235714285715
Adiantum patens subsp. oatesii,Dennstaedtiaceae,Adiantum,Polypodiales,herb,NA,14,14,-5.953530714285714,30.83855
Aframomum alpinum,Zingiberaceae,Aframomum,Zingiberales,herb,NA,14,14,-7.227637142857143,36.21157142857143
Allophylus africanus var. africanus,Sapindaceae,Allophylus,Sapindales,tree,tree,14,14,-3.2951349999999997,32.90177142857143
Allophylus africanus var. griseotomentosus,Sapindaceae,Allophylus,Sapindales,tree,tree,14,14,-6.820557142857143,35.120335714285716
Allophylus tanzaniensis,Sapindaceae,Allophylus,Sapindales,shrub,NA,14,14,-7.725372857142857,35.94947857142857
Annona senegalensis,Annonaceae,Annona,Magnoliales,tree,NA,14,14,-6.53713,37.012435714285715
Arthropteris monocarpa,Polypodiaceae,Arthropteris,Polypodiales,epiphyte,NA,14,14,-7.767141428571429,35.548292857142854
Asteranthe asterias subsp. asterias,Annonaceae,Asteranthe,Magnoliales,tree,NA,14,14,-5.826545714285714,38.764242857142854
Begonia princeae,Begoniaceae,Begonia,Cucurbitales,herb,NA,14,14,-8.319521428571429,33.53725714285714
Begonia wakefieldii,Begoniaceae,Begonia,Cucurbitales,herb,NA,14,14,-7.2068457142857145,36.386114285714285
Biophytum abyssinicum,Oxalidaceae,Biophytum,Oxalidales,herb,NA,14,14,-6.976685714285714,35.51642142857143
Blepharispermum zanguebaricum,Asteraceae,Blepharispermum,Asterales,shrub,liana,14,14,-6.681485,38.307635714285716
Bonamia mossambicensis,Convolvulaceae,Bonamia,Solanales,vine,NA,14,14,-7.386549285714286,38.94656428571429
Bulbine abyssinica,Xanthorrhoeaceae,Bulbine,Asparagales,herb,NA,14,14,-8.678887142857143,34.289092857142855
Burttia prunoides,Connaraceae,Burttia,Oxalidales,shrub,NA,14,14,-5.448211428571429,34.518342857142855
Catunaregam spinosa,Rubiaceae,Catunaregam,Gentianales,tree,NA,14,14,-7.832521428571429,37.118742857142855
Centemopsis gracilenta,Amaranthaceae,Centemopsis,Caryophyllales,herb,NA,14,14,-5.9997992857142854,34.62936428571429
Chloris gayana,Poaceae,Chloris,Poales,herb,NA,14,14,-5.7721,35.187957142857144
Chlorophytum filipendulum subsp. amaniense,Asparagaceae,Chlorophytum,Asparagales,herb,NA,14,14,-5.916841428571429,38.51637857142857
Cissus oliveri,Vitaceae,Cissus,Vitales,vine,NA,14,14,-4.527,35.22280714285714
Clerodendrum cephalanthum subsp. impensum,Lamiaceae,Clerodendrum,Lamiales,liana,NA,14,14,-4.837596428571429,38.20184285714286
Coccinia schliebenii,Cucurbitaceae,Coccinia,Cucurbitales,vine,NA,14,14,-8.673052142857143,37.02125
Combretum padoides,Combretaceae,Combretum,Myrtales,shrub,liana,14,14,-6.740673571428571,38.213614285714286
Combretum schumannii,Combretaceae,Combretum,Myrtales,tree,NA,14,14,-6.720037857142857,37.63177857142857
Commelina zambesica,Commelinaceae,Commelina,Commelinales,herb,NA,14,14,-6.684976428571429,34.3311
Crabbea velutina,Acanthaceae,Crabbea,Lamiales,herb,NA,14,14,-4.687462142857143,35.612700000000004
Crotalaria deserticola,Fabaceae,Crotalaria,Fabales,herb,NA,14,14,-4.2224192857142855,34.238107142857146
Crotalaria teretifolia,Fabaceae,Crotalaria,Fabales,herb,NA,14,14,-8.174285714285714,33.14714285714286
Cucumis maderaspatanus,Cucurbitaceae,Cucumis,Cucurbitales,vine,herb,14,14,-6.025353571428571,33.93870714285714
Cycnium tubulosum subsp. montanum,Orobanchaceae,Cycnium,Lamiales,herb,NA,14,14,-4.345532857142857,35.59282857142857
Cycnium tubulosum subsp. tubulosum,Orobanchaceae,Cycnium,Lamiales,herb,NA,14,14,-4.692557857142857,32.98896428571428
Cyphostemma buchananii,Vitaceae,Cyphostemma,Vitales,herb,climber,14,14,-7.893370714285714,36.07734285714286
Dactyloctenium aegyptium,Poaceae,Dactyloctenium,Poales,herb,NA,14,14,-4.775135714285714,35.49272142857143
Diaphananthe meliantha,Orchidaceae,Diaphananthe,Asparagales,epiphyte,NA,14,14,-8.246903571428572,35.908321428571426
Dioscorea longicuspis,Dioscoreaceae,Dioscorea,Dioscoreales,vine,NA,14,14,-5.513687857142857,38.25957142857143
Diospyros mafiensis,Ebenaceae,Diospyros,Ericales,tree,NA,14,14,-7.550612857142857,39.306335714285716
Discopodium penninervium,Solanaceae,Discopodium,Solanales,shrub,NA,14,14,-7.851743571428572,35.0628
Drake-brockmania haareri,Poaceae,Drake-brockmania,Poales,herb,NA,14,14,-4.345235,37.83571428571429
Drynaria volkensii,Polypodiaceae,Drynaria,Polypodiales,epiphyte,NA,14,14,-7.6517864285714285,35.444942857142856
Drypetes usambarica,Putranjivaceae,Drypetes,Malpighiales,tree,NA,14,14,-6.082377857142857,37.81762142857143
Elaeis guineensis,Arecaceae,Elaeis,Arecales,tree,NA,14,14,-5.131184285714286,36.464778571428575
Elatostema monticola,Urticaceae,Elatostema,Rosales,herb,NA,14,14,-6.396167857142857,37.01880714285714
Euclea natalensis subsp. obovata,Ebenaceae,Euclea,Ericales,shrub,NA,14,14,-6.012953571428572,38.83098571428572
Euphorbia matabelensis,Euphorbiaceae,Euphorbia,Malpighiales,shrub,NA,14,14,-7.235969285714286,34.933792857142855
Euphorbia pereskiifolia,Euphorbiaceae,Euphorbia,Malpighiales,shrub,NA,14,14,-6.848808571428571,38.903957142857145
Fadogia triphylla var. pubicaulis,Rubiaceae,Fadogia,Gentianales,herb,shrub,14,14,-5.964342142857143,30.894507142857144
Ficus asperifolia,Moraceae,Ficus,Rosales,shrub,NA,14,14,-4.307120714285714,31.230657142857144
Ficus glumosa,Moraceae,Ficus,Rosales,tree,NA,14,14,-5.535514285714286,34.85923571428572
Fuirena claviseta,Cyperaceae,Fuirena,Poales,herb,NA,14,14,-7.319046428571428,39.24523571428571
Fuirena umbellata,Cyperaceae,Fuirena,Poales,herb,NA,14,14,-7.619600714285714,35.61907142857143
Galium bussei,Rubiaceae,Galium,Gentianales,herb,NA,14,14,-8.137834285714286,34.47097142857143
Gilgiochloa indurata,Poaceae,Gilgiochloa,Poales,herb,NA,14,14,-5.161744285714286,35.028192857142855
Gouania longispicata,Rhamnaceae,Gouania,Rosales,liana,shrub,14,14,-6.251687857142857,36.72539285714286
Hackelochloa granularis,Poaceae,Hackelochloa,Poales,herb,NA,14,14,-7.386465714285714,35.199014285714284
Haplocoelum inoploeum,Sapindaceae,Haplocoelum,Sapindales,tree,NA,14,14,-6.598885714285714,38.694292857142855
Helichrysum nudifolium,Asteraceae,Helichrysum,Asterales,herb,NA,14,14,-7.219995,34.79135
Hyphaene compressa,Arecaceae,Hyphaene,Arecales,tree,NA,14,14,-5.481657142857143,38.07526428571428
Impatiens confusa subsp. longicornu,Balsaminaceae,Impatiens,Ericales,herb,NA,14,14,-8.142617857142858,36.130185714285716
Impatiens polyantha,Balsaminaceae,Impatiens,Ericales,herb,NA,14,14,-9.00093,34.391914285714286
Ipomoea mombassana,Convolvulaceae,Ipomoea,Solanales,herb,herb,14,14,-5.142179285714286,36.45335714285714
Justicia phyllostachys,Acanthaceae,Justicia,Lamiales,herb,NA,14,14,-7.948975,34.268
Kanahia laniflora,Apocynaceae,Kanahia,Gentianales,shrub,NA,14,14,-6.70966,37.40107142857143
Kedrostis heterophylla,Cucurbitaceae,Kedrostis,Cucurbitales,vine,NA,14,14,-5.684522142857143,38.66507857142857
Lasianthus pedunculatus subsp. pedunculatus,Rubiaceae,Lasianthus,Gentianales,shrub,NA,14,14,-6.768272142857143,37.55197857142857
Leonotis nepetifolia,Lamiaceae,Leonotis,Lamiales,herb,NA,14,14,-4.702135714285714,34.81243571428571
Lepistemon owariense,Convolvulaceae,Lepistemon,Solanales,vine,herb,14,14,-6.447456428571429,35.45417142857143
Leptaspis zeylanica,Poaceae,Leptaspis,Poales,herb,NA,14,14,-6.615730714285714,36.33940714285714
Leptocarydion vulpiastrum,Poaceae,Leptocarydion,Poales,herb,NA,14,14,-5.600791428571428,35.48574285714286
Lobelia giberroa,Campanulaceae,Lobelia,Asterales,herb,NA,14,14,-7.740153571428571,35.44217142857143
Lomariopsis warneckei,Polypodiaceae,Lomariopsis,Polypodiales,vine,epiphyte,14,14,-6.1947407142857145,37.659264285714286
Lotononis stolzii,Fabaceae,Lotononis,Fabales,herb,NA,14,14,-8.398095,34.781664285714285
Ludwigia adscendens subsp. diffusa,Onagraceae,Ludwigia,Myrtales,herb,NA,14,14,-7.528172857142858,36.47230714285714
Margelliantha leedalii,Orchidaceae,Margelliantha,Asparagales,epiphyte,NA,14,14,-7.85119,35.97714285714286
Neonotonia wightii subsp. wightii,Fabaceae,Neonotonia,Fabales,vine,herb,14,14,-5.072753571428572,36.08535714285714
Nesaea pedicellata,Lythraceae,Nesaea,Myrtales,herb,NA,14,14,-6.7083321428571425,39.29405
Oldenlandia flosculosa var. flosculosa,Rubiaceae,Oldenlandia,Gentianales,herb,NA,14,14,-6.870475714285714,39.26927857142857
Osmunda regalis,Osmundaceae,Osmunda,Osmundales,herb,NA,14,14,-7.3866635714285716,34.71655
Otiophora caerulea,Rubiaceae,Otiophora,Gentianales,herb,NA,14,14,-8.484520714285715,33.965492857142856
Pachycarpus lineolatus,Apocynaceae,Pachycarpus,Gentianales,herb,NA,14,14,-5.883310714285714,33.587442857142854
Pauridiantha bridelioides,Rubiaceae,Pauridiantha,Gentianales,shrub,NA,14,14,-7.957419285714286,34.67041428571429
Pavetta comostyla var. nyassica,Rubiaceae,Pavetta,Gentianales,shrub,NA,14,14,-9.035912142857143,33.87275714285714
Pavetta johnstonii subsp. breviloba,Rubiaceae,Pavetta,Gentianales,shrub,NA,14,14,-8.275852142857143,34.3481
Pennisetum polystachion,Poaceae,Pennisetum,Poales,herb,NA,14,14,-7.127812857142858,34.83485
Pentas purpurea,Rubiaceae,Pentas,Gentianales,herb,NA,14,14,-8.204539285714286,34.60210714285714
Peperomia tetraphylla,Piperaceae,Peperomia,Piperales,epiphyte,NA,14,14,-5.57591,35.74472142857143
Phyllanthus ukagurensis,Phyllanthaceae,Phyllanthus,Malpighiales,herb,NA,14,14,-7.41357,37.19761428571429
Pimpinella buchananii,Apiaceae,Pimpinella,Apiales,herb,NA,14,14,-8.074400714285714,33.83658571428571
Plantago palmata,Plantaginaceae,Plantago,Lamiales,herb,NA,14,14,-4.251644285714286,36.4508
Protea gaguedii,Proteaceae,Protea,Proteales,tree,NA,14,14,-7.666862857142857,34.861492857142856
Pseudobersama mossambicensis,Meliaceae,Pseudobersama,Sapindales,tree,NA,14,14,-7.631943571428572,38.51920714285714
Pseudoprosopis euryphylla subsp. euryphylla,Fabaceae,Pseudoprosopis,Fabales,shrub,tree,14,14,-10.328768571428572,39.39895
Psychotria pseudoplatyphylla,Rubiaceae,Psychotria,Gentianales,shrub,NA,14,14,-4.3906914285714285,37.48341428571429
Rawsonia reticulata,Achariaceae,Rawsonia,Malpighiales,tree,NA,14,14,-7.580276428571429,34.988907142857144
Rothmannia manganjae,Rubiaceae,Rothmannia,Gentianales,tree,NA,14,14,-7.30982,37.76511428571428
