species,family,genus,order,primary_habit,secondary_habit,n_records,n_coords,mean_lat,mean_lon
Ficus nigro-punctata,Moraceae,Ficus,Rosales,tree,NA,4,4,-7.892507500000001,38.178325
Ficus sansibarica subsp. sansibarica,Moraceae,Ficus,Rosales,tree,NA,4,4,-8.25479,36.974175
Fuirena pachyrrhiza,Cyperaceae,Fuirena,Poales,herb,NA,4,4,-7.5134675,36.29075
Fuirena pubescens var. pubescens,Cyperaceae,Fuirena,Poales,herb,NA,4,4,-8.816665,34.604175
Fuirena stricta subsp. chlorocarpa,Cyperaceae,Fuirena,Poales,herb,NA,4,4,-8.3933325,34.261675
Fuirena welwitschii,Cyperaceae,Fuirena,Poales,herb,NA,4,4,-8.312497500000001,31.454175
Galium bussei var. glabrostrictius,Rubiaceae,Galium,Gentianales,herb,NA,4,4,-8.5583275,34.270849999999996
Galium ossirwaense var. ossirwaense,Rubiaceae,Galium,Gentianales,herb,NA,4,4,-6.765,35.9725
Garcinia bifasciculata,Clusiaceae,Garcinia,Malpighiales,tree,NA,4,4,-7.00833,37.804175
Gardenia volkensii,Rubiaceae,Gardenia,Gentianales,tree,NA,4,4,-6.6558975,36.524375
Geranium vagans,Geraniaceae,Geranium,Geraniales,herb,NA,4,4,-8.6367325,34.710925
Gerrardanthus lobatus,Cucurbitaceae,Gerrardanthus,Cucurbitales,vine,NA,4,4,-4.763745,37.14235
Gladiolus erectiflorus,Iridaceae,Gladiolus,Asparagales,herb,NA,4,4,-7.03662,32.565625
Glinus oppositifolius,Molluginaceae,Glinus,Caryophyllales,herb,NA,4,4,-4.4320825,36.1666
Globimetula anguliflora,Loranthaceae,Globimetula,Santalales,parasitic,NA,4,4,-8.965205000000001,33.395125
Globimetula braunii,Loranthaceae,Globimetula,Santalales,parasitic,NA,4,4,-1.9308325,31.160474999999998
Glossostelma carsonii,Apocynaceae,Glossostelma,Gentianales,herb,NA,4,4,-9.38749,34.475
Gnaphalium luteo-album,Asteraceae,Gnaphalium,Asterales,herb,NA,4,4,-8.49583,34.97085
Gnidia goetzeana,Thymelaeaceae,Gnidia,Malvales,shrub,herb,4,4,-6.679165,34.504175000000004
Gomphocarpus physocarpus,Apocynaceae,Gomphocarpus,Gentianales,herb,NA,4,4,-4.4300675,35.140425
Gomphocarpus stenophyllus,Apocynaceae,Gomphocarpus,Gentianales,shrub,NA,4,4,-4.390135,34.720074999999994
Gonatopus marattioides,Araceae,Gonatopus,Alismatales,herb,NA,4,4,-4.9374975,38.716674999999995
Grammitis flabelliformis,Polypodiaceae,Grammitis,Polypodiales,epiphyte,NA,4,4,-7.12083,36.370850000000004
Grammitis major,Polypodiaceae,Grammitis,Polypodiales,NA,NA,4,4,-7.0713925,37.503775000000005
Gravesia pulchra,Melastomataceae,Gravesia,Myrtales,shrub,NA,4,4,-7.26097,37.2309
Grewia mollis,Malvaceae,Grewia,Malvales,shrub,NA,4,4,-4.6878425,31.008975
Gunnera perpensa,Gunneraceae,Gunnera,Gunnerales,herb,NA,4,4,-7.9694425,35.050775
Gutenbergia pembensis,Asteraceae,Gutenbergia,Asterales,herb,NA,4,4,-4.9875,39.004999999999995
